trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000198642_IRNT_height,7.96367,0,ENSG00000198642,IRNT_height
ENSG00000198756_IRNT_height,7.99908,0,ENSG00000198756,IRNT_height
ENSG00000204520_IRNT_height,6.99959,0,ENSG00000204520,IRNT_height
ENSG00000204614_IRNT_height,11.0498,0,ENSG00000204614,IRNT_height
ENSG00000204614_IRNT_LDL,7.72395,0,ENSG00000204614,IRNT_LDL
ENSG00000204614_IRNT_WHR,7.11326,0,ENSG00000204614,IRNT_WHR
ENSG00000205639_IRNT_RBC,7.68932,0,ENSG00000205639,IRNT_RBC
ENSG00000240505_IRNT_RBC,17.2685,0,ENSG00000240505,IRNT_RBC
ENSG00000241119_IRNT_biliru,33.5987,0,ENSG00000241119,IRNT_biliru
ENSG00000241635_IRNT_biliru,41.2418,1,ENSG00000241635,IRNT_biliru
ENSG00000242366_IRNT_biliru,32.4399,1,ENSG00000242366,IRNT_biliru
ENSG00000242515_IRNT_biliru,55.9051,0,ENSG00000242515,IRNT_biliru
ENSG00000244122_IRNT_biliru,28.8228,0,ENSG00000244122,IRNT_biliru
ENSG00000244474_IRNT_biliru,27.0845,0,ENSG00000244474,IRNT_biliru
ENSG00000244734_IRNT_biliru,9.43994,0,ENSG00000244734,IRNT_biliru
ENSG00000244734_IRNT_RBC,119.715,0,ENSG00000244734,IRNT_RBC
ENSG00000249992_ZBMD,6.97335,0,ENSG00000249992,ZBMD
ENSG00000257727_IRNT_height,11.1816,0,ENSG00000257727,IRNT_height
ENSG00000258366_IRNT_RBC,12.4823,0,ENSG00000258366,IRNT_RBC
ENSG00000269858_IRNT_RBC,7.34063,0,ENSG00000269858,IRNT_RBC
ENSG00000278318_IRNT_LDL,29.2567,0,ENSG00000278318,IRNT_LDL
ENSG00000288702_IRNT_biliru,13.5803,0,ENSG00000288702,IRNT_biliru
ENSG00000288705_IRNT_biliru,23.2351,0,ENSG00000288705,IRNT_biliru
