trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000183087_IRNT_TG,9.16403,0,ENSG00000183087,IRNT_TG
ENSG00000183765_Breast_cancer,29.9213,1,ENSG00000183765,Breast_cancer
ENSG00000183765_Cancer_of_prostate,12.0837,1,ENSG00000183765,Cancer_of_prostate
ENSG00000183765_IRNT_RBC,10.6724,0,ENSG00000183765,IRNT_RBC
ENSG00000184897_IRNT_height,7.02914,0,ENSG00000184897,IRNT_height
ENSG00000185038_IRNT_biliru,71.9774,0,ENSG00000185038,IRNT_biliru
ENSG00000187091_IRNT_height,7.50959,0,ENSG00000187091,IRNT_height
ENSG00000187098_IRNT_RBC,9.41858,0,ENSG00000187098,IRNT_RBC
ENSG00000187257_IRNT_height,8.19303,0,ENSG00000187257,IRNT_height
ENSG00000187266_IRNT_RBC,8.62847,1,ENSG00000187266,IRNT_RBC
ENSG00000188487_ZBMD,27.3134,0,ENSG00000188487,ZBMD
ENSG00000188536_IRNT_RBC,8.4251,0,ENSG00000188536,IRNT_RBC
ENSG00000196712_IRNT_height,18.6402,0,ENSG00000196712,IRNT_height
ENSG00000196739_IRNT_height,18.1744,0,ENSG00000196739,IRNT_height
ENSG00000197859_IRNT_height,8.47414,0,ENSG00000197859,IRNT_height
ENSG00000198369_IRNT_RBC,12.582,0,ENSG00000198369,IRNT_RBC
ENSG00000198569_IRNT_RBC,11.9421,0,ENSG00000198569,IRNT_RBC
ENSG00000198586_IRNT_height,9.96255,0,ENSG00000198586,IRNT_height
ENSG00000198743_IRNT_WHR,11.5363,0,ENSG00000198743,IRNT_WHR
ENSG00000198756_IRNT_height,14.2423,0,ENSG00000198756,IRNT_height
ENSG00000198873_IRNT_height,7.96174,0,ENSG00000198873,IRNT_height
ENSG00000204520_IRNT_height,6.99959,0,ENSG00000204520,IRNT_height
ENSG00000204614_IRNT_height,10.9771,0,ENSG00000204614,IRNT_height
ENSG00000204614_IRNT_LDL,7.72523,0,ENSG00000204614,IRNT_LDL
ENSG00000204614_IRNT_WHR,7.1124,0,ENSG00000204614,IRNT_WHR
ENSG00000206177_IRNT_RBC,9.97763,0,ENSG00000206177,IRNT_RBC
ENSG00000213398_IRNT_TG,10.59,0,ENSG00000213398,IRNT_TG
ENSG00000213445_hypertension,9.0028,0,ENSG00000213445,hypertension
ENSG00000213996_IRNT_TG,12.7412,0,ENSG00000213996,IRNT_TG
ENSG00000214944_IRNT_height,7.52733,0,ENSG00000214944,IRNT_height
ENSG00000240505_IRNT_RBC,19.8701,0,ENSG00000240505,IRNT_RBC
ENSG00000241119_IRNT_biliru,38.9173,0,ENSG00000241119,IRNT_biliru
ENSG00000241635_IRNT_biliru,62.1646,1,ENSG00000241635,IRNT_biliru
ENSG00000242366_IRNT_biliru,31.3688,1,ENSG00000242366,IRNT_biliru
ENSG00000242515_IRNT_biliru,36.6379,0,ENSG00000242515,IRNT_biliru
ENSG00000244122_IRNT_biliru,73.7265,0,ENSG00000244122,IRNT_biliru
ENSG00000244474_IRNT_biliru,32.8879,0,ENSG00000244474,IRNT_biliru
ENSG00000244734_IRNT_biliru,10.0207,0,ENSG00000244734,IRNT_biliru
ENSG00000244734_IRNT_RBC,75.7473,0,ENSG00000244734,IRNT_RBC
ENSG00000257727_IRNT_height,12.2493,0,ENSG00000257727,IRNT_height
ENSG00000258366_IRNT_RBC,11.2853,0,ENSG00000258366,IRNT_RBC
ENSG00000259384_IRNT_height,13.2781,1,ENSG00000259384,IRNT_height
ENSG00000269190_IRNT_height,9.81286,0,ENSG00000269190,IRNT_height
ENSG00000269858_IRNT_RBC,15.076,0,ENSG00000269858,IRNT_RBC
ENSG00000275052_ZBMD,7.40618,0,ENSG00000275052,ZBMD
ENSG00000278318_IRNT_LDL,29.3635,0,ENSG00000278318,IRNT_LDL
ENSG00000288702_IRNT_biliru,20.0773,0,ENSG00000288702,IRNT_biliru
